CaseName,Method,Path,Headers,Query,Body,ExpectedHTTP,AssertJson
Categories-列表,GET,/categories,,,,200,"$.code==1"
Categories-创建-商家,POST,/categories,"token:{{sellerToken}}",,"{""name"":""测试分类"",""parentId"":0,""status"":1}",200,"$.code==1"
Categories-创建-非商家,POST,/categories,"token:{{token}}",,"{""name"":""测试分类"",""parentId"":0,""status"":1}",200,"$.code!=1"

Cart-查询-已登录,GET,/api/cart,"token:{{token}}",,,200,"$.code==1"
Cart-加入-正常,POST,/api/cart/add,"token:{{token}}","productId={{productId}}&quantity=1",,200,"$.code==1"
Cart-加入-数量为0,POST,/api/cart/add,"token:{{token}}","productId={{productId}}&quantity=0",,200,"$.code!=1"
Cart-改数量-正常,PUT,/api/cart/{{productId}},"token:{{token}}","quantity=2",,200,"$.code==1"
Cart-移除,DELETE,/api/cart/{{productId}},"token:{{token}}",,,200,"$.code==1"
Cart-清空,POST,/api/cart/clear,"token:{{token}}",,,200,"$.code==1"

Addresses-列表,GET,/addresses,"token:{{token}}",,,200,"$.code==1"
Addresses-创建-带经纬度,POST,/addresses,"token:{{token}}",,"{""contactName"":""张三"",""contactPhone"":""13800000000"",""address"":""陕西省西安市..."",""building"":""2号楼"",""room"":""301"",""longitude"":109.369301,""latitude"":32.389159,""isDefault"":1}",200,"$.code==1"
Addresses-创建-缺少地址,POST,/addresses,"token:{{token}}",,"{""contactName"":""张三"",""contactPhone"":""13800000000""}",200,"$.code!=1"
Addresses-更新,PUT,/addresses/{{addressId}},"token:{{token}}",,"{""contactName"":""张三"",""contactPhone"":""13800000000"",""address"":""更新后地址"",""building"":""2号楼"",""room"":""302"",""longitude"":109.1,""latitude"":34.2,""isDefault"":0}",200,"$.code==1"
Addresses-删除,DELETE,/addresses/{{addressId}},"token:{{token}}",,,200,"$.code==1"
Addresses-设默认,PATCH,/addresses/{{addressId}}/default,"token:{{token}}",,,200,"$.code==1"

Orders-创建-正常,POST,/orders,"token:{{token}}",,"{""addressId"":{{addressId}},""items"":[{""productId"":{{productId}},""quantity"":1}]}",200,"$.code==1 && $.data.orderNo"
Orders-创建-无地址,POST,/orders,"token:{{token}}",,"{""items"":[{""productId"":{{productId}},""quantity"":1}]}",200,"$.code!=1"
Orders-支付,POST,/orders/{{orderNo}}/pay,"token:{{token}}",,,200,"$.code==1"
Orders-取消,POST,/orders/{{orderNo}}/cancel,"token:{{token}}",,"{""cancelReason"":""不想要了""}",200,"$.code==1"
Orders-确认收货,POST,/orders/{{orderNo}}/confirm,"token:{{token}}",,,200,"$.code==1"
Orders-我的订单列表,GET,/orders,"token:{{token}}","status=4",,200,"$.code==1"
Orders-商家订单列表,GET,/orders/seller,"token:{{sellerToken}}","status=2",,200,"$.code==1"
Orders-商家发货,POST,/orders/{{orderNo}}/ship,"token:{{sellerToken}}",,,200,"$.code==1"

Refunds-申请-商品订单,POST,/refunds/apply,"token:{{token}}",,"{""orderType"":1,""orderNo"":""{{orderNo}}"",""refundAmount"":1,""reason"":""不想要了""}",200,"$.code==1"
Refunds-申请-金额<=0,POST,/refunds/apply,"token:{{token}}",,"{""orderType"":1,""orderNo"":""{{orderNo}}"",""refundAmount"":0}",200,"$.code!=1"
Refunds-我的列表,GET,/refunds/my,"token:{{token}}","status=0",,200,"$.code==1"
Refunds-商家列表,GET,/refunds/seller,"token:{{sellerToken}}","status=0",,200,"$.code==1"
Refunds-跑腿员列表,GET,/refunds/runner,"token:{{runnerToken}}","status=0",,200,"$.code==1"
Refunds-同意退款,POST,/refunds/{{refundId}}/approve,"token:{{sellerToken}}",,"{""handleRemark"":""""}",200,"$.code==1"
Refunds-拒绝退款,POST,/refunds/{{refundId}}/reject,"token:{{sellerToken}}",,"{""handleRemark"":""不同意""}",200,"$.code==1"

Role-提交申请,POST,/role-applications,"token:{{token}}",,"{""targetType"":""2"",""reason"":""想当跑腿员""}",200,"$.code==1"
Role-我的申请记录,GET,/role-applications/mine,"token:{{token}}",,,200,"$.code==1"

Errands-发布-正常(赏金>0),POST,/api/errands/create,"token:{{token}}",,"{""userId"":{{userId}},""title"":""取快递"",""pickupAddress"":""取件点A"",""deliveryAddress"":""宿舍B"",""contactName"":""张三"",""contactPhone"":""13800000000"",""reward"":5,""errandType"":1,""tip"":0}",200,"$.code==1"
Errands-发布-赏金<=0,POST,/api/errands/create,"token:{{token}}",,"{""userId"":{{userId}},""title"":""取快递"",""pickupAddress"":""取件点A"",""deliveryAddress"":""宿舍B"",""contactName"":""张三"",""contactPhone"":""13800000000"",""reward"":0,""errandType"":1,""tip"":0}",200,"$.code!=1"
Errands-广场待接单,GET,/api/errands/open,"token:{{token}}",,,200,"$.code==1"
Errands-接单,POST,/api/errands/take,"token:{{runnerToken}}","orderNo={{errandOrderNo}}&runnerId={{runnerId}}",,200,"$.code==1"
Errands-跑腿员任务列表,GET,/api/errands/runner,"token:{{runnerToken}}","runnerId={{runnerId}}",,200,"$.code==1"
Errands-完成,POST,/api/errands/complete,"token:{{runnerToken}}","orderNo={{errandOrderNo}}",,200,"$.code==1"
Errands-我的跑腿订单,GET,/api/errands/my,"token:{{token}}","userId={{userId}}&status=4",,200,"$.code==1"

Wanted-发布求购,POST,/api/wanted/create,"token:{{token}}",,"{""title"":""求购二手书"",""price"":10}",200,"$.code==1"
Wanted-更新状态,POST,/api/wanted/status,"token:{{token}}","postId={{wantedId}}&status=2",,200,"$.code==1"
Wanted-列表,GET,/api/wanted/list,,"status=1",,200,"$.code==1"

Complaints-提交投诉,POST,/api/complaints/submit,"token:{{token}}",,"{""orderType"":1,""orderNo"":""{{orderNo}}"",""content"":""商家服务差""}",200,"$.code==1"
Complaints-我的投诉,GET,/api/complaints/my,"token:{{token}}","userId={{userId}}",,200,"$.code==1"
AdminComplaints-列表,GET,/admin/complaints,"token:{{adminToken}}",,,200,"$.code==1"
AdminComplaints-处理,POST,/admin/complaints/{{complaintId}}/resolve,"token:{{adminToken}}","result=已处理",,200,"$.code==1"

Coupons-可领取列表,GET,/api/coupons/list,,"",,200,"$.code==1"
Coupons-领取,POST,/api/coupons/receive,"token:{{token}}","userId={{userId}}&couponId={{couponId}}",,200,"$.code==1"
Coupons-我的优惠券,GET,/api/coupons/my,"token:{{token}}","userId={{userId}}&status=1",,200,"$.code==1"

Notices-用户可见公告,GET,/api/notices/visible,"token:{{token}}","userType=1",,200,"$.code==1"
Notices-管理员发布,POST,/admin/notices/publish,"token:{{adminToken}}",,"{""title"":""测试公告"",""content"":""内容""}",200,"$.code==1"
Notices-管理员全部公告,GET,/admin/notices/all,"token:{{adminToken}}",,,200,"$.code==1"

Reviews-添加评价,POST,/orders/{{orderNo}}/reviews,"token:{{token}}",,"{""rating"":5,""content"":""很好"",""orderType"":1,""isAnonymous"":0}",200,"$.code==1"
Reviews-商品评价列表,GET,/products/{{productId}}/reviews,,"",,200,"$.code==1"
ReviewReplies-回复列表,GET,/reviews/{{reviewId}}/replies,,"",,200,"$.code==1"
ReviewReplies-添加回复,POST,/reviews/{{reviewId}}/replies,"token:{{token}}",,"{""content"":""谢谢支持""}",200,"$.code==1"

ShoppingRecords-我的购物记录,GET,/api/shopping-records,"token:{{token}}",,,200,"$.code==1"
ShoppingRecords-删除一条,DELETE,/api/shopping-records/{{recordId}},"token:{{token}}",,,200,"$.code==1"
ShoppingRecords-批量删除,DELETE,/api/shopping-records/batch,"token:{{token}}",,"[{{recordId}}]",200,"$.code==1"

AdminUsers-搜索用户,GET,/admin/users,"token:{{adminToken}}","phone=138",,200,"$.code==1"
AdminUsers-更新状态,PATCH,/admin/users/{{targetUserId}}/status,"token:{{adminToken}}",,"{""status"":1}",200,"$.code==1"
AdminUsers-更新角色,PATCH,/admin/users/{{targetUserId}}/type,"token:{{adminToken}}",,"{""userType"":2}",200,"$.code==1"

AdminOrders-搜索商品订单,GET,/admin/orders/products,"token:{{adminToken}}","status=2",,200,"$.code==1"
AdminOrders-强制改状态,PATCH,/admin/orders/products/{{orderNo}}/status,"token:{{adminToken}}",,"{""status"":5,""cancelReason"":""管理员取消""}",200,"$.code==1"

AdminProducts-待审核列表,GET,/admin/products/pending,"token:{{adminToken}}",,,200,"$.code==1"
AdminProducts-审核通过,PATCH,/admin/products/{{productId}}/approve,"token:{{adminToken}}",,,200,"$.code==1"
AdminProducts-审核拒绝,PATCH,/admin/products/{{productId}}/reject,"token:{{adminToken}}",,,200,"$.code==1"

AdminErrands-待审核,GET,/admin/errands/pending,"token:{{adminToken}}",,,200,"$.code==1"
AdminErrands-审核通过,PATCH,/admin/errands/{{errandOrderId}}/approve,"token:{{adminToken}}",,,200,"$.code==1"
AdminErrands-审核拒绝,PATCH,/admin/errands/{{errandOrderId}}/reject,"token:{{adminToken}}",,,200,"$.code==1"

AdminRefunds-列表,GET,/admin/refunds,"token:{{adminToken}}","status=0",,200,"$.code==1"
AdminRefunds-同意,POST,/admin/refunds/{{refundId}}/approve,"token:{{adminToken}}",,"{""handleRemark"":""""}",200,"$.code==1"
AdminRefunds-拒绝,POST,/admin/refunds/{{refundId}}/reject,"token:{{adminToken}}",,"{""handleRemark"":""拒绝""}",200,"$.code==1"
